"__mclCluster","adj_P_Val","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","DiffExpressed","Eccentricity","GNC - Common","HUB","IsSingleNode","logFC","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3","9.128553110744615E-6","1.7586206896551724","0.018894886396720583","0.5686274509803921","0.23809523809523808","7","DOWN","2","true","1","false","-2.8201451111111107","PNLIPRP2","13.857142857142858","0","7","0","0.967016491754123","false","0","PNLIPRP2","168","0.5026455026455027"
"1","1.2095400971034484E-9","4.5703125","0.0056784637112443775","0.2188034188034188","0.6060606060606061","12","UP","8","true",,"false","1.1414517777777777","PPAPDC1A","14.083333333333334","0","12","0","0.9129192073170732","false","0","PPAPDC1A","3018","0.3061594202898551"
"1","1.4757205676877063E-6","5.21875","0.010119186680791554","0.19161676646706588","0.38095238095238093","7","UP","9","true",,"false","1.4890444444444442","CDH11","11.0","0","7","0","0.8971036585365854","false","0","CDH11","5786","0.2714285714285714"
"3","1.237007372599126E-5","1.8620689655172413","0.0019308273566212984","0.5370370370370371","0.5","4","DOWN","2","true",,"false","-2.5449413333333335","CLPS","17.0","0","4","0","0.9625187406296851","false","0","CLPS","46","0.5862068965517241"
"1","5.306861689717087E-10","5.03125","0.0","0.19875776397515527","0.0","1","UP","8","true",,"false","1.2684082222222222","MICAL2","9.0","0","1","0","0.9016768292682927","false","0","MICAL2","0","0.0"
"2","2.800511979017611E-4","3.475609756097561","0.0013080463508497898","0.28771929824561404","0.0","3","DOWN","6","true",,"false","-0.8520388888888888","PAX6","12.333333333333334","0","3","0","0.876219512195122","false","0","PAX6","176","0.5666666666666667"
"2","1.2941095762683942E-7","3.8292682926829267","0.0","0.2611464968152866","0.0","1","DOWN","7","true",,"false","-0.6994504444444443","GATS","19.0","0","1","0","0.8585365853658538","false","0","GATS","0","0.0"
"1","8.173596410267318E-9","3.5546875","0.4303677066775219","0.2813186813186813","0.2222222222222222","9","UP","6","true","1","false","1.2380353333333334","LOXL2","8.444444444444445","0","9","0","0.9376905487804879","false","0","LOXL2","96652","0.1773049645390071"
"1","3.642819219111369E-9","6.25","0.0","0.16","0.0","1","UP","8","true",,"false","1.0000808888888888","SLC16A3","4.0","0","1","0","0.8719512195121951","false","0","SLC16A3","0","0.0"
"1","2.8636837807999576E-6","5.3046875","1.4160135846493698E-4","0.18851251840942562","0.6666666666666666","6","UP","10","true",,"false","0.6572415555555555","WDHD1","19.666666666666668","0","6","0","0.8950076219512195","false","0","WDHD1","22","0.427536231884058"
