"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"187.73442195059854","0.25","interacts with","COL11A1 (interacts with) PPEF1","false","interacts with","COL11A1 (interacts with) PPEF1","0.813"
"365.8669061330825","0.25","interacts with","COL11A1 (interacts with) RUNX2","false","interacts with","COL11A1 (interacts with) RUNX2","0.845"
"204.09999999999997",,"interacts with","COL11A1 (interacts with) SLC24A2","false","interacts with","COL11A1 (interacts with) SLC24A2","0.8104"
"333.3162526534352","0.25","interacts with","COL11A1 (interacts with) SUGCT","false","interacts with","COL11A1 (interacts with) SUGCT","0.9038"
"256.0","0.5","interacts with","ALDOC (interacts with) ENO2","false","interacts with","ALDOC (interacts with) ENO2","0.8509"
"48.0","0.3333333432674408","interacts with","MTMR11 (interacts with) TRAK1","false","interacts with","MTMR11 (interacts with) TRAK1","0.8328"
"111.27640692640689","0.20000000298023224","interacts with","COL11A1 (interacts with) THBS2","false","interacts with","COL11A1 (interacts with) THBS2","0.8781"
"23.67442307641944","0.3333333432674408","interacts with","MTMR7 (interacts with) SCG5","false","interacts with","MTMR7 (interacts with) SCG5","0.8289"
"13.276068376068375","0.25","interacts with","COL12A1 (interacts with) HSD17B6","false","interacts with","COL12A1 (interacts with) HSD17B6","0.86"
"20.533106012010677","0.5","interacts with","AMBP (interacts with) C6","false","interacts with","AMBP (interacts with) C6","0.8561"
"117.88800426647123","0.3333333432674408","interacts with","MTMR7 (interacts with) SCGN","false","interacts with","MTMR7 (interacts with) SCGN","0.847"
"23.373809523809527","0.25","interacts with","COL12A1 (interacts with) ITGA11","false","interacts with","COL12A1 (interacts with) ITGA11","0.9082"
"4.683333333333334","0.5","interacts with","AMBP (interacts with) CFTR","false","interacts with","AMBP (interacts with) CFTR","0.8355"
"14.016673849026787",,"interacts with","COL12A1 (interacts with) MXRA5P1","false","interacts with","COL12A1 (interacts with) MXRA5P1","0.8368"
"7.284126984126983","0.25","interacts with","MUC15 (interacts with) REG1A","false","interacts with","MUC15 (interacts with) REG1A","0.8493"
"24.59557746175393","0.25","interacts with","COL12A1 (interacts with) SUGCT","false","interacts with","COL12A1 (interacts with) SUGCT","0.8462"
"28.652460317460317",,"interacts with","MUC15 (interacts with) REG1P","false","interacts with","MUC15 (interacts with) REG1P","0.8331"
"20.969199184107897","0.3333333432674408","interacts with","AMBP (interacts with) DCDC2","false","interacts with","AMBP (interacts with) DCDC2","0.8197"
"18.320317460317465","0.25","interacts with","MUC15 (interacts with) REG3A","false","interacts with","MUC15 (interacts with) REG3A","0.8249"
"30.53847760426706",,"interacts with","COL12A1 (interacts with) TNFSF4","false","interacts with","COL12A1 (interacts with) TNFSF4","0.8255"
"8.955317460317458",,"interacts with","MUC15 (interacts with) REG3G","false","interacts with","MUC15 (interacts with) REG3G","0.8241"
"30.556988437901207","0.3333333432674408","interacts with","AMBP (interacts with) F11","false","interacts with","AMBP (interacts with) F11","0.8718"
"50.75341880341887","0.25","interacts with","COL12A1 (interacts with) WNT2","false","interacts with","COL12A1 (interacts with) WNT2","0.8018"
"38.54623770715049",,"interacts with","AMBP (interacts with) KCNJ16","false","interacts with","AMBP (interacts with) KCNJ16","0.9242"
"28.0","0.3333333432674408","interacts with","MX1 (interacts with) MX2","false","interacts with","MX1 (interacts with) MX2","0.8327"
"224.8848712690818","0.3333333432674408","interacts with","COL1A1 (interacts with) KIF26B","false","interacts with","COL1A1 (interacts with) KIF26B","0.8497"
"7.4","0.3333333432674408","interacts with","MX1 (interacts with) OAS3","false","interacts with","MX1 (interacts with) OAS3","0.8608"
"24.821175056631436","0.3333333432674408","interacts with","AMBP (interacts with) ONECUT1","false","interacts with","AMBP (interacts with) ONECUT1","0.8945"
"31.115128730918205","0.5","interacts with","COL1A1 (interacts with) NUAK1","false","interacts with","COL1A1 (interacts with) NUAK1","0.8259"
"8.733333333333334","0.3333333432674408","interacts with","MX1 (interacts with) PARP9","false","interacts with","MX1 (interacts with) PARP9","0.858"
"20.999999999999996","0.3333333432674408","interacts with","MX1 (interacts with) RSAD2","false","interacts with","MX1 (interacts with) RSAD2","0.8774"
"13.627655677655678","0.3333333432674408","interacts with","AMBP (interacts with) RAP1GAP","false","interacts with","AMBP (interacts with) RAP1GAP","0.8217"
